iter	Logloss
0	0.6177071804
1	0.5572349132
2	0.50740739
3	0.4687033491
4	0.4369943121
5	0.4068164152
6	0.380536065
7	0.3591456914
8	0.3404184767
9	0.3256516349
10	0.3131146612
11	0.3018184279
12	0.2926446284
13	0.2846491909
14	0.2781703692
15	0.2717421723
16	0.2672722216
17	0.2639066687
18	0.2595682192
19	0.2552114956
20	0.251425385
21	0.2487074315
22	0.2462734693
23	0.2433234647
24	0.2411001171
25	0.2393643232
26	0.2378072131
27	0.2364365946
28	0.234925016
29	0.2336113609
30	0.2328485334
31	0.2318092567
32	0.2304199303
33	0.2295649763
34	0.2285214179
35	0.2274641888
36	0.2266818978
37	0.2259186784
38	0.2252204682
39	0.2246138246
40	0.2242280242
41	0.2236734186
42	0.2232365877
43	0.2225998603
44	0.2219833661
45	0.2212559675
46	0.2205602619
47	0.2200417289
48	0.219578858
49	0.2189029657
50	0.2184112563
51	0.2179768041
52	0.2176522487
53	0.2172444382
54	0.2165437792
55	0.216174322
56	0.2157131302
57	0.2153593865
58	0.214838181
59	0.2145053281
60	0.2140960483
61	0.2136110693
62	0.2132228622
63	0.2127393944
64	0.2124441672
65	0.2120273595
66	0.2117127948
67	0.2112991494
68	0.2109033024
69	0.2105080571
70	0.2102322515
71	0.2100514408
72	0.2094376471
73	0.2090557646
74	0.2087126132
75	0.2084115792
76	0.2080547153
77	0.2076292462
78	0.2072428581
79	0.2068406166
80	0.2064178481
81	0.2061444632
82	0.2059120762
83	0.2057030007
84	0.2053820275
85	0.2051756105
86	0.2046807109
87	0.2042738798
88	0.2040078129
89	0.2036312756
90	0.2032816597
91	0.2028844694
92	0.2025436129
93	0.2021392025
94	0.2018788586
95	0.201708864
96	0.2014874752
97	0.2013733946
98	0.2010126547
99	0.2006893866
100	0.200367126
101	0.2000874445
102	0.1996760519
103	0.1992794353
104	0.1989581542
105	0.198737437
106	0.1985662531
107	0.1983102469
108	0.1980895296
109	0.1978204544
110	0.1974277977
111	0.1971638438
112	0.1969152395
113	0.1967014486
114	0.1965508616
115	0.196230574
116	0.1959773662
117	0.1956917519
118	0.1953563384
119	0.195041102
120	0.1947342472
121	0.1944713986
122	0.194110183
123	0.1938263597
124	0.1935936369
125	0.1933162782
126	0.193002567
127	0.1926491872
128	0.1924677188
129	0.1922952336
130	0.1920879772
131	0.1918124234
132	0.1914961656
133	0.1910756359
134	0.1906714774
135	0.1904440158
136	0.1902579439
137	0.1898670782
138	0.189715092
139	0.1893849257
140	0.1890735093
141	0.1886900036
142	0.1884371317
143	0.1881340268
144	0.1879091119
145	0.1876583668
146	0.1874761428
147	0.1872940308
148	0.1869995173
149	0.1867371585
150	0.1864554621
151	0.1862274548
152	0.1859179553
153	0.1857767713
154	0.1856064409
155	0.1854177805
156	0.1852557756
157	0.1851431223
158	0.1849854691
159	0.1847655634
160	0.1845795895
161	0.1841492651
162	0.1839517334
163	0.183801888
164	0.1835972621
165	0.1833392829
166	0.1830512059
167	0.1828085765
168	0.1826587731
169	0.1823680795
170	0.1821916765
171	0.182014154
172	0.1817858109
173	0.1815407607
174	0.1812605755
175	0.1810098864
176	0.1807102377
177	0.1805258449
178	0.1802694189
179	0.1799642431
180	0.1797086006
181	0.1795151407
182	0.179323276
183	0.1790830812
184	0.1788692623
185	0.1786602987
186	0.17856508
187	0.1783664709
188	0.1781568497
189	0.1779458292
190	0.17766563
191	0.1774287515
192	0.1770671301
193	0.1769406941
194	0.1767925698
195	0.1765688022
196	0.1762259447
197	0.1760773866
198	0.1758047014
199	0.1755774637
