iter	Passed	Remaining
0	15	3176
1	23	2370
2	29	1969
3	38	1885
4	46	1800
5	55	1782
6	63	1745
7	71	1719
8	79	1683
9	87	1671
10	95	1647
11	104	1630
12	111	1610
13	121	1612
14	129	1595
15	137	1584
16	145	1567
17	155	1572
18	165	1580
19	174	1574
20	183	1568
21	191	1550
22	200	1545
23	208	1531
24	218	1527
25	226	1515
26	235	1511
27	244	1501
28	253	1492
29	265	1501
30	271	1478
31	280	1473
32	288	1459
33	297	1450
34	305	1438
35	314	1430
36	323	1423
37	332	1418
38	341	1408
39	349	1398
40	357	1388
41	366	1378
42	374	1367
43	382	1355
44	390	1345
45	399	1337
46	409	1332
47	417	1322
48	426	1313
49	444	1334
50	452	1321
51	461	1312
52	469	1301
53	478	1293
54	486	1282
55	495	1273
56	506	1271
57	515	1261
58	523	1251
59	531	1240
60	540	1231
61	549	1222
62	559	1216
63	568	1208
64	577	1199
65	585	1188
66	593	1178
67	601	1167
68	610	1159
69	619	1150
70	627	1140
71	635	1129
72	644	1120
73	652	1110
74	660	1100
75	668	1089
76	675	1079
77	683	1069
78	691	1059
79	699	1049
80	707	1039
81	715	1029
82	723	1020
83	731	1010
84	740	1001
85	748	992
86	759	985
87	773	984
88	780	973
89	789	964
90	797	955
91	806	947
92	814	937
93	822	927
94	831	918
95	839	909
96	848	900
97	856	891
98	864	882
99	872	872
100	880	863
101	888	853
102	896	844
103	904	835
104	912	825
105	920	816
106	928	806
107	939	799
108	949	792
109	975	798
110	984	789
111	992	779
112	1000	770
113	1012	764
114	1020	754
115	1030	746
116	1038	736
117	1048	728
118	1057	719
119	1066	710
120	1073	701
121	1082	692
122	1090	682
123	1098	673
124	1106	663
125	1115	654
126	1122	645
127	1131	636
128	1139	626
129	1147	618
130	1155	608
131	1164	600
132	1173	590
133	1181	582
134	1190	573
135	1198	564
136	1207	555
137	1214	545
138	1222	536
139	1230	527
140	1239	518
141	1247	509
142	1261	503
143	1270	493
144	1278	485
145	1286	475
146	1294	466
147	1301	457
148	1310	448
149	1318	439
150	1327	430
151	1336	422
152	1345	413
153	1354	404
154	1362	395
155	1371	386
156	1380	378
157	1390	369
158	1398	360
159	1407	351
160	1415	342
161	1423	334
162	1431	324
163	1440	316
164	1447	307
165	1457	298
166	1465	289
167	1474	280
168	1483	272
169	1491	263
170	1502	254
171	1510	245
172	1519	237
173	1526	228
174	1535	219
175	1543	210
176	1552	201
177	1560	192
178	1569	184
179	1577	175
180	1587	166
181	1595	157
182	1604	149
183	1612	140
184	1620	131
185	1628	122
186	1636	113
187	1644	104
188	1652	96
189	1660	87
190	1668	78
191	1676	69
192	1685	61
193	1693	52
194	1701	43
195	1709	34
196	1717	26
197	1725	17
198	1734	8
199	1747	0
