iter	Logloss
0	0.6188867456
1	0.5556254993
2	0.5056046001
3	0.4623329971
4	0.4281725072
5	0.3992708636
6	0.3765209256
7	0.3555493746
8	0.3385548756
9	0.3230354627
10	0.309268411
11	0.299235194
12	0.2893882447
13	0.2813553913
14	0.2744481761
15	0.2700166768
16	0.2649537532
17	0.2607143145
18	0.2575518483
19	0.2537335549
20	0.2510601815
21	0.2481197478
22	0.2453283059
23	0.2434969714
24	0.2420918195
25	0.2401825189
26	0.2384897938
27	0.2373758252
28	0.2356882213
29	0.2346198822
30	0.2330548244
31	0.2320735185
32	0.2308911127
33	0.2301152722
34	0.2290724694
35	0.2277193695
36	0.2271519748
37	0.226469646
38	0.2258926525
39	0.2253216897
40	0.2244595436
41	0.2236134469
42	0.2229039447
43	0.2223840125
44	0.2218244956
45	0.2213552441
46	0.2209848354
47	0.2203162052
48	0.2197589271
49	0.2189705493
50	0.2184373802
51	0.2178806618
52	0.217268855
53	0.2167984841
54	0.216306215
55	0.2159431104
56	0.2154808552
57	0.2149971495
58	0.2146088724
59	0.2141556703
60	0.2135047126
61	0.2130333902
62	0.212637865
63	0.2121576294
64	0.2118512083
65	0.2115598291
66	0.2112368269
67	0.2106428046
68	0.2100428214
69	0.2096718531
70	0.2093885195
71	0.2090666787
72	0.2087107522
73	0.2083579181
74	0.2079133353
75	0.2073790608
76	0.2071736933
77	0.2068883309
78	0.2065381553
79	0.2062589216
80	0.2058501875
81	0.2054985847
82	0.2051193188
83	0.2047030988
84	0.2042154612
85	0.2038631448
86	0.203465073
87	0.2030929433
88	0.2027007063
89	0.2024149661
90	0.2022075557
91	0.2018764239
92	0.2014738605
93	0.201242537
94	0.2009301691
95	0.2007079966
96	0.2004878671
97	0.2002916227
98	0.1999889096
99	0.1995920691
100	0.1993967342
101	0.1989973611
102	0.1986580997
103	0.1982480224
104	0.1979213681
105	0.1975440472
106	0.1973150884
107	0.1970224079
108	0.1967088366
109	0.1963521266
110	0.1960664983
111	0.1957469942
112	0.1954744628
113	0.1952350937
114	0.1950236674
115	0.1946999516
116	0.1944463381
117	0.1941201316
118	0.193877768
119	0.1935476437
120	0.1933403173
121	0.1931969784
122	0.1929590504
123	0.1926368038
124	0.1922506816
125	0.1920137471
126	0.1917397465
127	0.1914985443
128	0.1911713304
129	0.1909226702
130	0.1906745697
131	0.190332202
132	0.1900685139
133	0.1898952731
134	0.1896221121
135	0.1893984424
136	0.1891190688
137	0.1888497977
138	0.1885322245
139	0.1881341248
140	0.1877643038
141	0.187492598
142	0.1872275106
143	0.1869839577
144	0.1868057216
145	0.1866203773
146	0.1863121792
147	0.1859049143
148	0.185582164
149	0.1853686109
150	0.1851336773
151	0.1847825503
152	0.184549002
153	0.1842685509
154	0.184043412
155	0.1837676064
156	0.1835366467
157	0.183197945
158	0.1830700538
159	0.1828167201
160	0.1824427853
161	0.182200016
162	0.1820010431
163	0.1816792582
164	0.1814411483
165	0.1812879028
166	0.1810554039
167	0.1807231527
168	0.1805056258
169	0.1802667043
170	0.1800637156
171	0.1798165526
172	0.1796922015
173	0.1794577856
174	0.1790967659
175	0.1787014646
176	0.1784709247
177	0.1782780105
178	0.1779986088
179	0.1778090388
180	0.177528098
181	0.1773434114
182	0.1771317473
183	0.1768822335
184	0.1765351363
185	0.1763326373
186	0.176078618
187	0.1758080596
188	0.1754996096
189	0.1752042845
190	0.1750463794
191	0.1748994445
192	0.1746493711
193	0.1744453049
194	0.174263011
195	0.1740710063
196	0.1738498833
197	0.1736438162
198	0.1732949559
199	0.1729931943
