iter	Passed	Remaining
0	20	4075
1	30	3038
2	41	2719
3	50	2478
4	68	2663
5	89	2883
6	102	2827
7	110	2650
8	117	2491
9	128	2439
10	139	2396
11	146	2301
12	153	2206
13	162	2161
14	170	2100
15	180	2076
16	190	2051
17	200	2028
18	211	2012
19	226	2038
20	237	2028
21	245	1990
22	255	1962
23	265	1947
24	274	1918
25	285	1908
26	294	1885
27	305	1878
28	314	1852
29	321	1822
30	328	1791
31	337	1770
32	343	1739
33	351	1718
34	361	1702
35	372	1694
36	381	1679
37	391	1669
38	404	1668
39	413	1655
40	424	1646
41	434	1634
42	443	1620
43	453	1609
44	463	1597
45	473	1584
46	483	1575
47	497	1574
48	507	1565
49	518	1556
50	527	1541
51	539	1535
52	548	1520
53	557	1508
54	566	1493
55	576	1482
56	595	1494
57	625	1532
58	649	1552
59	665	1553
60	679	1548
61	693	1543
62	709	1542
63	720	1532
64	739	1535
65	759	1541
66	771	1530
67	781	1517
68	792	1505
69	802	1489
70	811	1473
71	819	1456
72	835	1454
73	852	1450
74	866	1443
75	878	1433
76	887	1417
77	912	1426
78	922	1412
79	930	1395
80	939	1380
81	948	1365
82	957	1349
83	965	1333
84	975	1319
85	984	1305
86	992	1289
87	1001	1275
88	1010	1260
89	1019	1245
90	1039	1245
91	1059	1243
92	1071	1232
93	1080	1217
94	1091	1206
95	1099	1191
96	1109	1177
97	1117	1163
98	1125	1148
99	1133	1133
100	1142	1120
101	1150	1105
102	1161	1093
103	1169	1079
104	1177	1065
105	1188	1053
106	1195	1039
107	1206	1027
108	1215	1014
109	1223	1001
110	1231	987
111	1241	975
112	1250	962
113	1258	949
114	1267	936
115	1274	923
116	1283	910
117	1291	897
118	1300	884
119	1309	872
120	1319	861
121	1330	850
122	1341	839
123	1351	828
124	1361	816
125	1371	805
126	1380	793
127	1389	781
128	1399	770
129	1407	758
130	1417	746
131	1427	735
132	1437	724
133	1448	713
134	1458	702
135	1465	689
136	1475	678
137	1485	667
138	1498	657
139	1506	645
140	1516	634
141	1524	622
142	1537	612
143	1546	601
144	1555	589
145	1563	578
146	1571	566
147	1580	555
148	1588	543
149	1598	532
150	1605	520
151	1614	509
152	1623	498
153	1633	487
154	1640	476
155	1649	465
156	1658	454
157	1666	442
158	1674	431
159	1683	420
160	1694	410
161	1702	399
162	1710	388
163	1723	378
164	1734	367
165	1743	357
166	1754	346
167	1762	335
168	1769	324
169	1777	313
170	1785	302
171	1793	291
172	1800	281
173	1809	270
174	1818	259
175	1827	249
176	1836	238
177	1848	228
178	1855	217
179	1862	206
180	1870	196
181	1879	185
182	1889	175
183	1896	164
184	1902	154
185	1911	143
186	1922	133
187	1933	123
188	1943	113
189	1951	102
190	1968	92
191	1976	82
192	1985	72
193	1994	61
194	2009	51
195	2021	41
196	2035	30
197	2044	20
198	2052	10
199	2060	0
